id,amazonBiomeArea_ha_100Sites,forestArea_1985_ha_100Sites,otherArea_1985_ha_100Sites,forestArea_2017_ha_100Sites,otherArea_2017_ha_100Sites,workerPerHa_100Sites,z_2017_100Sites,zbar_2017_100Sites,x_2017_100Sites,b_100Sites,theta_100Sites,gamma_100Sites,gammaSD_100Sites,d_theta_winsorized,pastureArea_value,z_1985_100Sites,zbar_1985_100Sites,a_100Sites,k_100Sites,zeta_100Sites,zeta_alt_100Sites,rho_100Sites,r_100Sites,C_2017_100Sites,C0bern_2017_100Sites,C1bern_2017_100Sites,C2bern_2017_100Sites,C3bern_2017_100Sites,u_100Sites,u_bern_100Sites,theta_scenario2_100Sites,theta_scenario3_100Sites,theta_scenario4_100Sites,theta_scenario5_100Sites,theta2006_100Sites,theta2006_scenario2_100Sites,theta2006_scenario3_100Sites,theta2006_scenario4_100Sites,theta2006_scenario5_100Sites,d_imputation_theta_scenario2_100Sites,d_imputation_theta_scenario3_100Sites,d_imputation_theta_scenario4_100Sites,d_imputation_theta_scenario5_100Sites,theta_soybean_100Sites,p_2017_100Sites,p_2017_alt_100Sites,pSoybean_2017_100Sites,pSoybean_2017_alt_100Sites
26,155559.48424670516,80796.98036558085,71324.12342371745,72018.30017081312,73139.9207873513,0.051083060294642615,10958.065311004766,82976.36548181789,16986483.007649675,880844.1421445481,1.9656581115183478,235.8634259259259,153.4094463596673,0,277.69804930746824,3870.696752080199,84667.67711766105,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,3.5061211344985317,6.58043083074557,9.466996423405002,10.39163613357396,1.2800061197310235,NA,NA,NA,NA,0,0,0,0,3848.032258064516,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
33,7229617,5981948.653173744,1002728.3473010206,5425910.405710138,1041698.1729468836,0.03471130412607994,762008.1618069287,6187918.567517067,3196160478.0938005,164053163.1604768,1.6080317254925036,589.0551518746447,266.7770559914772,0,326979.11129069346,244939.0972304018,6226887.750404146,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,3.651408985150973,6.853112981501557,9.85929306967806,10.822248317435411,2.3334754020488866,13.738741574181676,25.78542929986975,37.096441439256274,40.71964370179146,0,0,0,0,2944.4922711058266,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
34,7229617,6586556.534414666,393273.15760488756,5735215.196757123,446377.9024695979,0.030626854337399836,1048023.9231448269,6783239.11990195,3835353395.241717,204162913.90921476,1.9286959264708912,668.7374865044908,312.29465010755786,0,823938.1889300438,249787.33430006652,6836343.868714732,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,3.6388683161635127,6.829576143589349,9.825431584607502,10.78507958766535,2.595639644195709,13.369013319527754,25.091508265030672,36.09812565660974,39.62382260968467,0,0,0,0,3242.5826397146257,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
35,7229617,6690735.955912903,279621.7606167829,5450643.295715753,312418.7104431952,0.033097809274952025,1466554.9830308636,6917198.278746616,3560079853.4978724,203341612.25150064,1.6912720820637166,653.1485662061434,320.3769412960953,0,991155.6051116984,259259.28826965732,6949995.244182561,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,3.8015536572976147,7.13491061249164,10.264703784162368,11.267255418014617,2.3808361013772403,13.449548070106752,25.24265916236903,36.31558026426414,39.86251596682242,0,0,0,0,2804.8525564803804,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
48,7206558.5,6872206.949662389,33599.432610243864,4578034.390136624,54467.60130997095,0.02595852130106331,2574056.481091863,7152090.871228486,2773742353.996652,195031226.1672651,1.6411935078330953,605.8806285886975,286.0968410839482,0,1774111.7092639091,300752.1214153128,7172959.071077702,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,4.183989407054802,7.852681591286253,11.297331504724944,12.400739688379291,2.391711493395306,12.522692876130588,23.5030996149064,33.81294716352796,37.11545117503764,0,0,0,0,3218.462544589774,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
65,3941851.474404919,3785053.4096524045,61754.7276812456,2894087.4047990167,80232.78836367594,0.036876735935898713,968643.7866233933,3862731.19142241,1875214223.7227657,112646523.21726446,1.7024098657066207,647.9466448087431,321.6599150138876,0,339467.53389485553,96059.65320126603,3881113.0628536707,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,3.9515291185179495,7.416390661529001,10.669657606493578,11.711761001872476,2.604844287075876,15.03236622206823,28.213356684524314,40.58940116454033,44.553760128057654,0,0,0,0,3320.195028680688,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
67,7122746.75,6656704.114390474,36841.8211292305,5842089.967623085,54511.38174848839,0.030143330265915272,1226145.4334957227,7068235.4011188075,3817564794.9176917,207880255.1403709,2.7891525406359348,653.4587478239243,305.7295887288753,0,1408525.2380691345,429200.8432561919,7085904.957646666,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,4.22226526905908,7.924519286774872,11.40068145608054,12.514183809500407,3.125381694989273,13.138193827059096,24.658296848108233,35.47488212741391,38.93970700550046,0,0,0,0,3369.0045977011496,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
68,7122746.75,6706582.026039388,94303.6998731927,4373858.573756646,107991.5624960112,0.021966556979665257,2640896.539930064,7014755.113686711,2320682546.9117017,167512636.56381503,2.3339675741558645,530.580152004892,247.17955880159684,0,1765661.156830279,321861.020882701,7028443.046922089,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,4.287721893546828,8.047370943443978,11.57742310479779,12.70818778087373,3.041067043049157,12.944210829484774,24.294221663905827,34.95110206569048,38.36476944642475,0,0,0,0,3557.633333333333,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
70,7122746.75,6546922.956371184,190722.39112892523,5491148.229787294,164967.0183544058,0.01672537002229782,1466631.4985449116,6957779.728332206,2195461750.5273056,125203780.80267519,1.901843575170576,399.8183364670069,184.56386573426406,0,1440816.2440007417,385101.421673679,6932024.378044863,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,4.450934744734675,8.35369546468275,12.018119652114912,13.191927074755785,2.5588315452229446,12.26212190663205,23.014049415124674,33.10937066355668,36.343156494355235,0,0,0,0,3622.977011494253,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
73,3231824.8887099503,2696868.699422078,406750.6922128994,1845134.3267129557,383601.59796891053,0.03172128087835409,1003991.5361933919,2849125.8629063475,892035228.0668567,61994007.63098471,2.9228695014936776,483.4527303255949,252.13225736415492,0,794006.95077744,129098.06088553455,2825966.760307613,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.742767,8136029910.794038,8535808784.4820385,4373414327.842392,77551439.80765882,1.8150397402897538e-9,1.8936879366660968e-9,4.204726488754256,7.891601790138507,11.353324401361888,12.462201400404176,3.212152519689933,13.268218404203541,24.902332265988434,35.825965891939134,39.32508105342254,0,0,0,0,3669.5384615384614,44.53497930237984,43.68293056940959,0.45404552912833057,0.4256431750576957
