id,amazonBiomeArea_ha_10Sites,forestArea_1985_ha_10Sites,otherArea_1985_ha_10Sites,forestArea_2017_ha_10Sites,otherArea_2017_ha_10Sites,workerPerHa_10Sites,cluster,clusterRank,theta_10Sites,theta_resid_10Sites,theta_residSD_10Sites,z_2017_10Sites,zbar_2017_10Sites,x_2017_10Sites,b_10Sites,gamma_10Sites,gammaSD_10Sites,d_theta_winsorized,pastureArea_value,z_1985_10Sites,zbar_1985_10Sites,a_10Sites,k_10Sites,zeta_10Sites,zeta_alt_10Sites,rho_10Sites,r_10Sites,C_2017_10Sites,C0bern_2017_10Sites,C1bern_2017_10Sites,C2bern_2017_10Sites,C3bern_2017_10Sites,u_10Sites,u_bern_10Sites,theta_scenario2_10Sites,theta_scenario3_10Sites,theta_scenario4_10Sites,theta_scenario5_10Sites,d_imputation_theta_scenario2_10Sites,d_imputation_theta_scenario3_10Sites,d_imputation_theta_scenario4_10Sites,d_imputation_theta_scenario5_10Sites,theta_soybean_10Sites,p_2017_10Sites,p_2017_alt_10Sites
1,51346328.79638096,43831861.99889177,5434917.3386455085,39468721.04956319,5481943.42511741,0.04413916311462943,1,6,1.552660259795592,0.23793413643655892,1.1906306301675518,6396298.631149999,45865019.68071319,20854216573.69325,1090702905.527766,528.3732540384418,238.1131447612876,0,3717277.986729029,2080191.4823398483,45912053.48123162,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,3.905629895451519,7.330245131757737,10.54572355973991,11.575722340735828,0,0,0,0,2811.1076771329936,44.758760469833035,43.34917824284919
2,33000459.28634331,32679918.106027383,189114.575174967,32133941.765953075,202494.06610108874,0.05619113941415907,2,10,1.8118973975740231,-0.5103726743479476,0.7019098783191501,667577.0698098139,32801518.83576289,24919048866.91791,1144841787.8636186,775.474389305094,326.38539420578746,0,1012963.7693486491,134969.66132944086,32814887.767356824,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,3.7273995850438792,6.9957352319029695,10.064477862159979,11.047473468925233,0,0,0,0,2897.6008551307846,44.758760469833035,43.34917824284919
3,42492297.907285765,31469238.528644446,5340879.619562538,21098990.866275184,5361112.53712193,0.04338347521637396,3,3,1.9227058725144255,0.2335242421633821,4.936533281412411,16034483.854299499,37133474.720574684,8339723898.067765,660601626.185068,395.26648221825883,186.89564802722518,0,11046892.03760766,5684468.037516123,37153706.56616057,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,4.1676267017079285,7.821971399992658,11.253150009832519,12.352242995423497,0,0,0,0,3466.1040348101264,44.758760469833035,43.34917824284919
4,22293621.974771917,17515688.356011815,2149314.7364930934,11028626.8673756,1766104.1779073903,0.023020492361756916,4,2,3.225359064639802,0.4159768897604004,3.256252078331335,9497101.836999957,20525728.704375558,4130087705.065959,345955687.929764,374.4879353279603,181.83795630202852,0,6856772.729738214,2624173.9058288606,20139862.261840675,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,4.6226054392258105,8.675894010434517,12.481653508592313,13.700734193368064,0,0,0,0,3667.206268958544,44.758760469833035,43.34917824284919
5,12931760.938768912,8029479.193188466,2413821.0516887996,4585160.282784579,2309263.761903509,0.05118112493565281,5,1,1.9137603088585944,-0.31684027245822816,1.236725905523472,6045748.332447606,10630908.615232185,1212263652.5593097,126501887.93117566,264.3885006835789,134.0007102102011,0,6218631.010692592,2496647.726240935,10526126.919429401,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,4.324766320879438,8.1168974322262,11.677448017689192,12.817982107666767,0,0,0,0,3732.667206915181,44.758760469833035,43.34917824284919
6,79179796.1170963,76623540.48764645,2132393.940355138,74282167.09904581,2192506.786774615,0.043605565507092624,6,7,0.9965805116207487,0.5258929047246496,0.8001776815313408,2707786.8729540408,76989953.97199985,46764811050.303635,2181487549.8678155,629.5563642879281,271.37979810490606,0,1846160.1349546334,426449.6885696621,77049990.17621611,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,3.8894443156783782,7.299867376949242,10.502020327608149,11.527750622372059,0,0,0,0,2540.130648961234,44.758760469833035,43.34917824284919
7,21468383.50436375,19292186.905624412,767731.1840567968,12831877.705667662,839579.0834118265,0.031067336066996538,7,5,2.5953936157166493,-0.45269873051012244,1.3990763630914715,7799483.6558237625,20631361.361491423,6741874834.396572,487868097.1134374,525.400490017044,249.13116229248237,0,5630213.363875134,1410994.105277365,20703181.010901775,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,4.2131760988073514,7.907460362152485,11.37613947964448,12.487244822971187,0,0,0,0,3467.9663770306006,44.758760469833035,43.34917824284919
8,34123364.41499319,33721110.5696782,346329.21105369966,33694794.741247356,376105.5738088406,0.04622837507089377,8,8,0.05511117130594004,1.085954115176075,1.1410500509633053,57357.19429804351,33752151.9355454,21828736329.683125,984127363.300862,647.8370471555821,258.881732465916,0,315169.35146677645,60788.723834994445,33781899.293513194,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,3.398178100261749,6.377838951227539,9.175535780760303,10.071708586317953,0,0,0,0,2139.6507397526075,44.758760469833035,43.34917824284919
9,55575594.75958327,52909682.33564951,1337131.726398423,47404990.57724507,1399888.836701332,0.04062696681033961,9,9,1.9932810442566709,-0.5630015599109763,0.7690304972171528,6772366.78223918,54177357.359484255,31062089805.062397,1597748740.5146832,655.2493614453443,291.5514049934347,0,5969263.143472526,1330291.7610304288,54239974.09667994,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,3.8520743917092273,7.229729982833115,10.401116530224245,11.416991570608072,0,0,0,0,3107.164262942159,44.758760469833035,43.34917824284919
10,69132007.67297912,61821376.85301329,7019177.127060096,60547861.878414325,7287918.407496814,0.04337948292042735,10,4,0.2863779944109653,0.855499088122085,0.6646314920687872,1301126.283370603,61848988.16178493,31202901482.321033,1434540545.316852,515.3427472794882,205.48669327788548,0,1113342.998777905,296297.20327149675,62117674.056284785,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,22038084958.74279,8136029910.794044,8535808784.482045,4373414327.842396,77551439.80765882,1.815039740289752e-9,1.8936879366660955e-9,3.757696386709432,7.052597502231088,10.146283282453712,11.137268808801448,0,0,0,0,2535.5581705689674,44.758760469833035,43.34917824284919
