year,z (ha),x (CO2e Mg),C (CO2e Mg),data_type
1973,0,233071396101.27188,0,linear extrapolation
1974,1149762.1186656952,232360896273.26776,712907677.372666,linear extrapolation
1975,2552449.931098461,231495477310.81708,1565849327.472397,linear extrapolation
1976,3955137.743531227,230631676580.37958,2398786734.5212693,linear extrapolation
1977,5357825.55596447,229769421249.51685,3212292837.0339704,linear extrapolation
1978,6760513.368397236,228908641763.79102,4006922972.06177,linear extrapolation
1979,8163201.180830002,228049271699.22876,4783215462.765119,linear extrapolation
1980,9565888.993262768,227191247621.42834,5541692184.653861,linear extrapolation
1981,10968576.805695534,226334508951.00632,6282859111.331816,linear extrapolation
1982,12371264.6181283,225478997835.10068,7007206840.541251,linear extrapolation
1983,13773952.430561066,224624659024.65717,7715211101.273141,linear extrapolation
1984,15176640.242994308,223771439757.2382,8407333242.677016,linear extrapolation
1985,16542033.586666666,222942335902.42468,9060896345.509739,observed
1986,16573629.151666665,222938433766.2363,8872984820.060736,observed
1987,17832185.824166667,222175661116.70718,9451277284.671534,observed
1988,19981386.36783333,220863346121.29462,10569155672.115145,observed
1989,21202379.42416667,220126484131.50754,11086191116.532015,observed
1990,21475154.46866667,219976244986.9272,11004249079.291119,observed
1991,22702466.638,219235648098.48416,11517283592.711594,observed
1992,24084597.07583333,218400048552.06335,12115389379.92167,observed
1993,25925916.391666666,217281514774.8954,12985332872.199228,observed
1994,27652087.426166665,216235473565.22913,13764650183.381348,observed
1995,29571693.530833334,215071036607.32538,14646900378.409412,observed
1996,31707202.663,213774500223.22363,15643665960.561577,observed
1997,33632776.81883333,212609211881.1369,16488296927.916727,observed
1998,35216416.749,211656421223.73486,17102630919.303513,observed
1999,37110044.278,210512807192.86118,17896395598.03582,observed
2000,38504110.818166666,209678971641.56982,18363457155.632404,observed
2001,39976464.14716667,208797184670.95966,18869877018.41025,observed
2002,42585906.75433333,207213229892.59607,20071268926.887085,observed
2003,44919765.822333336,205801413320.39273,21075375434.755005,observed
2004,46952062.7755,204577375575.36838,21870856520.02928,observed
2005,49218869.03333333,203209423835.57828,22795111753.18276,observed
2006,50969614.39616667,202161611595.4059,23379787543.53615,observed
2007,52290309.013166666,201380114685.7799,23686296927.398487,observed
2008,53060889.737333335,200938586063.60294,23646789051.123,observed
2009,53635929.020333335,200617256340.29193,23489274228.927124,observed
2010,54243265.992000006,200275125892.5079,23357769896.110165,observed
2011,54674369.92333333,200041133664.29227,23122317776.47473,observed
2012,54666646.56299999,200077374119.55423,22622503101.973557,observed
2013,54511828.2945,200203086892.18106,22045387254.190395,observed
2014,54837613.67583334,200030271257.17065,21781909974.954502,observed
2015,55638385.71766667,199563043150.5529,21821109088.33266,observed
2016,57254674.39833333,198591579933.60834,22366948190.614704,observed
2017,57477949.72433333,198481640659.8545,22038084958.742767,observed
