id,amazonBiomeArea_ha_12Sites,forestArea_1985_ha_12Sites,otherArea_1985_ha_12Sites,forestArea_2017_ha_12Sites,otherArea_2017_ha_12Sites,workerPerHa_12Sites,z_2017_12Sites,zbar_2017_12Sites,x_2017_12Sites,b_12Sites,theta_12Sites,gamma_12Sites,gammaSD_12Sites,d_theta_winsorized,pastureArea_value,z_1985_12Sites,zbar_1985_12Sites,a_12Sites,k_12Sites,zeta_12Sites,zeta_alt_12Sites,rho_12Sites,r_12Sites,C_2017_12Sites,C0bern_2017_12Sites,C1bern_2017_12Sites,C2bern_2017_12Sites,C3bern_2017_12Sites,u_12Sites,u_bern_12Sites,theta_scenario2_12Sites,theta_scenario3_12Sites,theta_scenario4_12Sites,theta_scenario5_12Sites,theta2006_12Sites,theta2006_scenario2_12Sites,theta2006_scenario3_12Sites,theta2006_scenario4_12Sites,theta2006_scenario5_12Sites,d_imputation_theta_scenario2_12Sites,d_imputation_theta_scenario3_12Sites,d_imputation_theta_scenario4_12Sites,d_imputation_theta_scenario5_12Sites,theta_soybean_12Sites,p_2017_12Sites,p_2017_alt_12Sites,pSoybean_2017_12Sites,pSoybean_2017_alt_12Sites
1,68532784.65,66722048.42,1439142.992,64615464.86,1465688.526,0.039488159,2454443.957,67069908.82,42093203444,1966469801,1.167555868,651.4416252,279.2824616,0,1674108.92,374329.0603,67096377.48,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.810074657,7.150903172,10.28771162,11.29251043,1.858325549,15.29984821,28.71537776,41.31163834,45.34653806,0,0,0,0,2614.847335,44.5349793,43.68293057,0.454045529,0.425643175
2,33876908.77,28580462.44,5156068.816,27958721.26,5155891.245,0.040194073,763690.4576,28722411.71,13358912087,617673189.4,0.201372885,477.8084078,189.5096353,0,667829.822,141760.2572,28722222.69,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.65686908,6.86336071,9.874036057,10.83843125,0.517922436,12.09468333,22.69979388,32.65726409,35.84689276,0,0,0,0,2683.477498,44.5349793,43.68293057,0.454045529,0.425643175
3,11965133.34,11890411.46,62344.32425,11887757,66216.86101,0.054869619,13406.29425,11901163.3,8523159729,384037985.3,0.184555112,716.9695451,307.5545054,0,1492.576309,14622.71913,11905034.18,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.613354545,6.78169086,9.756540987,10.70946046,0.829016638,14.68702611,27.56520831,39.65693663,43.53022196,0,0,0,0,1914.921542,44.5349793,43.68293057,0.454045529,0.425643175
4,39701799.84,33510933.65,3946888.231,27838821.64,3861381.112,0.035489856,8002644.381,35841466.02,14848172299,860383306.2,1.817834287,533.3620973,247.0644443,0,5115037.812,2244996.896,35755930.54,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.991784972,7.491944485,10.7783538,11.83107353,2.388790794,12.97509738,24.3521908,35.0344999,38.45631273,0,0,0,0,3237.935281,44.5349793,43.68293057,0.454045529,0.425643175
5,53342739.74,48604582.97,4106339.347,46402063.28,4455693.09,0.038284531,2485747.179,48887810.45,25300617652,1199716077,0.925537909,545.2476866,238.5838156,0,1654806.639,632588.3846,49237171.35,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.99888413,7.505268473,10.79752248,11.85211441,1.764347316,14.01451714,26.3030161,37.84107238,41.5370026,0,0,0,0,2386.932564,44.5349793,43.68293057,0.454045529,0.425643175
6,47909773.99,45894872.24,965679.5622,40884285.45,1075532.162,0.036104433,5951739.953,46836025.41,27112702160,1397914097,2.048191349,663.1570507,294.0275391,0,5345517.388,1050866.993,46945739.23,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.869685162,7.262782594,10.44866797,11.46918735,2.646576979,13.69583907,25.70490813,36.98059893,40.59248688,0,0,0,0,3115.794458,44.5349793,43.68293057,0.454045529,0.425643175
7,19693804.38,17594570.18,727646.5267,11782040.3,768164.9287,0.028978501,7145639.016,18927679.31,5948607552,430106735.5,2.776470572,504.8877277,241.5341456,0,5138795.483,1373626.467,18968196.65,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,4.244885569,7.966973986,11.46175929,12.58122711,3.146587358,12.90254904,24.21602913,34.83860966,38.24128993,0,0,0,0,3497.045247,44.5349793,43.68293057,0.454045529,0.425643175
8,27850723.24,27593141.14,153156.9222,27149552.05,164977.6393,0.052295104,539293.1478,27688845.2,21323981425,978801284.3,1.838488978,785.4266392,331.0946171,0,901220.632,107512.868,27700654.01,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,3.734742902,7.009517467,10.0843058,11.069238,2.10836974,14.12643656,26.51307102,38.14326979,41.86871558,0,0,0,0,2942.788306,44.5349793,43.68293057,0.454045529,0.425643175
9,40135887.09,29211369.71,5171538.339,18937131.61,5214996.783,0.03564214,15986704.26,34923835.87,7235818435,600591887.8,1.914262686,382.0968552,180.9862332,0,11182151.56,5755920.501,34967290.21,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,4.17943513,7.844133939,11.28503435,12.38724147,2.331039929,12.16504519,22.83185188,32.84725053,36.05543513,0,0,0,0,3487.889654,44.5349793,43.68293057,0.454045529,0.425643175
10,18843241.78,14576854.32,1857014.285,8981583.5,1474947.8,0.021225235,8384575.775,17366159.27,3231389618,281205786.7,3.235005255,359.7794996,174.8798082,0,6133364.314,2404584.709,16981439.03,0.045007414,2.094215255,1.66E-04,2.06E-04,0.02,0.025,22038084959,8136029911,8535808784,4373414328,77551439.81,1.82E-09,1.89E-09,4.645666993,8.719176873,12.54392279,13.7690853,2.709223356,11.49766345,21.57928268,31.0452305,34.07741216,0,0,0,0,3674.579733,44.5349793,43.68293057,0.454045529,0.425643175
